#{"t_start": 1651387311.3162405, "env_id": "cruise-ctrl-v0"}
r,l,t
3.377016,101,283.313272
2.056156,101,283.886719
1.979063,101,284.458056
2.093438,101,285.02998
-7.946874,6,285.065128
1.9986,101,285.634681
2.513825,101,286.203981
2.065055,101,286.773389
2.019778,101,287.342063
2.71739,101,287.911537
2.890754,101,288.480484
2.718367,101,289.050325
2.821402,101,289.623557
2.647647,101,290.193716
2.917317,101,290.762379
1.937552,101,291.331623
-8.053924,8,291.377618
2.980697,101,291.947023
1.877768,101,292.5178
-6.949012,11,292.580607
2.922183,101,293.151843
2.970868,101,293.723224
2.067134,101,294.310778
1.289473,101,294.886968
1.858623,101,295.460221
2.602231,101,296.074688
2.347057,101,296.66637
3.0951,101,297.242126
2.06021,101,297.817063
2.685004,101,298.391003
1.576764,101,298.969323
1.609382,101,299.545517
2.189619,101,300.121459
3.296045,101,300.700433
2.022208,101,301.276874
1.876844,101,301.848691
1.924785,101,302.421272
-7.932511,6,302.456225
2.321677,101,303.027878
3.394497,101,303.606412
1.956629,101,304.216073
2.412359,101,304.814461
2.559661,101,305.389217
-8.182495,5,305.419069
1.939335,101,306.018719
1.769689,101,306.609001
2.194724,101,307.190071
2.763299,101,307.767403
2.523774,101,308.35595
2.591071,101,308.936963
-7.84156,9,308.99486
2.308771,101,309.570095
-8.041233,6,309.60585
2.21278,101,310.178722
3.10461,101,310.763395
3.375555,101,311.344015
-9.068742,3,311.362461
-8.503541,6,311.39934
2.750975,101,311.984863
-8.501733,4,312.009011
1.850106,101,312.592134
1.548787,101,313.171047
-8.368911,6,313.206051
2.256981,101,313.777354
3.503158,101,314.355043
2.202581,101,314.927689
2.536384,101,315.503483
2.514529,101,316.096405
-8.015263,5,316.12984
2.027931,101,316.718433
2.927023,101,317.300109
2.489918,101,317.873204
2.093572,101,318.449727
2.509523,101,319.022862
1.940325,101,319.594764
2.126816,101,320.168109
3.278507,101,320.740725
-7.715263,6,320.777088
2.155821,101,321.349296
-7.184773,11,321.412569
2.884977,101,321.988673
1.267726,101,322.558737
2.142513,101,323.152687
2.365397,101,323.73042
2.057086,101,324.306198
1.203435,101,324.875102
1.25723,101,325.444412
1.343696,101,326.012769
2.910561,101,326.581423
2.236447,101,327.150229
1.78909,101,327.719168
1.52114,101,328.289371
2.134474,101,328.861684
2.231949,101,329.439092
-7.736698,8,329.485619
2.682098,101,330.062434
3.366975,101,330.666752
3.345772,101,331.249646
2.751018,101,331.866394
3.593214,101,332.462216
3.042621,101,333.039416
2.492266,101,333.617223
-8.201435,8,333.663504
2.540694,101,334.239097
1.761865,101,334.821134
2.367703,101,335.409154
2.893337,101,336.0105
-8.879241,6,336.046777
2.652357,101,336.644243
2.460891,101,337.223481
2.392284,101,337.795788
2.094991,101,338.37444
2.566382,101,338.951503
2.862742,101,339.529509
2.428694,101,340.105153
2.644055,101,340.690703
-7.578565,8,340.737773
1.769394,101,341.315098
-8.005773,7,341.355924
1.903281,101,341.934896
2.86626,101,342.511088
2.348219,101,343.09443
2.001991,101,343.680703
1.943254,101,344.257586
-6.905671,9,344.309766
2.786488,101,344.885353
2.355446,101,345.463296
-7.572543,7,345.5057
1.845227,101,346.074498
2.01776,101,346.658769
2.267199,101,347.248908
2.608704,101,347.838246
2.295305,101,348.433864
2.921198,101,349.034877
2.654765,101,349.620787
2.183422,101,350.201131
1.293751,101,350.79133
1.637851,101,351.373468
3.190902,101,351.959389
1.930183,101,352.538382
1.575985,101,353.122497
-7.401368,10,353.18101
2.674397,101,353.755476
3.024096,101,354.327989
2.178042,101,354.900531
2.001618,101,355.474811
2.147104,101,356.046988
2.414724,101,356.621678
1.99194,101,357.194304
3.207025,101,357.766609
1.903983,101,358.339079
2.254269,101,358.915964
1.770178,101,359.487769
2.736352,101,360.060501
3.254555,101,360.632921
2.656475,101,361.205992
1.753286,101,361.779243
2.489526,101,362.351902
1.76453,101,362.93778
3.123363,101,363.519249
3.544852,101,364.102493
2.49656,101,364.676973
2.216178,101,365.2504
2.443913,101,365.837236
2.73324,101,366.418043
2.676145,101,367.006008
1.466148,101,367.59419
-8.128314,5,367.627096
2.547189,101,368.205495
2.845043,101,368.776304
2.273438,101,369.346446
1.928738,101,369.929912
-8.502521,5,369.958601
2.378757,101,370.529104
1.594111,101,371.098072
2.30075,101,371.668514
2.831224,101,372.237663
2.613948,101,372.806557
3.295454,101,373.375905
1.598117,101,373.947481
2.327727,101,374.516774
2.663529,101,375.086637
2.762419,101,375.659729
2.564902,101,376.228585
2.748675,101,376.798255
-7.847995,6,376.83349
-8.503086,5,376.862175
2.556241,101,377.431208
2.827277,101,378.000865
2.264432,101,378.571157
1.874224,101,379.139087
2.762975,101,379.707317
3.201618,101,380.283762
2.634285,101,380.855681
2.487987,101,381.43332
2.839537,101,382.003067
1.814695,101,382.582895
3.23032,101,383.152492
1.293594,101,383.728962
2.826283,101,384.30693
-8.399978,7,384.346828
2.241086,101,384.916157
2.693486,101,385.485624
2.424939,101,386.054342
1.929147,101,386.622523
1.582109,101,387.193966
1.753387,101,387.762239
1.876408,101,388.331781
1.808364,101,388.902875
1.928577,101,389.472373
2.446894,101,390.04056
2.001174,101,390.611624
1.792888,101,391.187346
2.279777,101,391.761586
2.111972,101,392.335548
2.303745,101,392.913759
2.75722,101,393.488851
2.312824,101,394.072483
2.324992,101,394.659407
2.885872,101,395.254166
2.451522,101,395.829177
2.26116,101,396.407485
2.70564,101,396.981973
2.202056,101,397.556458
2.964804,101,398.130738
2.658548,101,398.70914
2.824315,101,399.285521
2.494585,101,399.861379
2.667052,101,400.436705
-8.887703,5,400.465535
2.691829,101,401.039903
2.55491,101,401.614657
2.903185,101,402.188874
1.555082,101,402.762669
2.166873,101,403.334728
2.488085,101,403.921181
2.840448,101,404.514768
-7.76982,7,404.557062
2.318425,101,405.144547
2.565391,101,405.741279
2.043753,101,406.321312
2.411965,101,406.900265
2.014928,101,407.47156
2.306688,101,408.052026
2.204782,101,408.64963
-7.744929,7,408.695358
1.721131,101,409.275738
2.416946,101,409.862566
2.640255,101,410.431799
2.383244,101,411.004253
2.297726,101,411.582108
2.677218,101,412.17212
3.461018,101,412.758258
2.422099,101,413.338287
2.25189,101,413.915817
-8.871632,4,413.939233
2.131249,101,414.511327
1.70972,101,415.087632
-8.402356,6,415.123023
2.590816,101,415.700147
2.053957,101,416.274699
2.320153,101,416.853404
1.636393,101,417.428079
2.993587,101,417.999058
1.264753,101,418.569832
-7.834231,8,418.618975
1.642687,101,419.191596
1.866526,101,419.763755
-8.429457,6,419.801472
1.839823,101,420.388976
2.248649,101,420.978024
2.627196,101,421.573982
2.644186,101,422.147672
1.5745,101,422.732182
1.961162,101,423.313727
-7.956776,9,423.368279
-7.801799,9,423.421745
2.63299,101,424.006116
3.04366,101,424.59404
2.517726,101,425.188941
1.383237,101,425.777557
2.820021,101,426.351752
2.538976,101,426.933649
3.147356,101,427.505379
2.285512,101,428.083741
1.859715,101,428.661448
2.396503,101,429.239336
3.360915,101,429.813722
-8.98734,4,429.8376
2.371782,101,430.410232
2.918052,101,430.982159
2.10041,101,431.55471
3.068374,101,432.12665
2.440025,101,432.701811
2.722599,101,433.273003
2.38357,101,433.843952
-7.58855,8,433.889862
3.151158,101,434.461268
2.712947,101,435.039464
3.57446,101,435.613535
1.937554,101,436.201603
2.294936,101,436.788995
2.316644,101,437.364253
2.127795,101,437.938062
2.096611,101,438.526574
2.306827,101,439.114962
2.633253,101,439.702568
2.328194,101,440.291775
-7.590333,8,440.340909
2.841409,101,440.924151
2.995434,101,441.505775
2.31015,101,442.080366
2.868647,101,442.652903
2.455177,101,443.224671
3.096167,101,443.806193
-7.810171,6,443.841756
2.507158,101,444.422281
2.986195,101,445.000104
1.800899,101,445.578534
2.184814,101,446.155877
2.592939,101,446.727786
2.178565,101,447.299048
2.463315,101,447.874282
2.093916,101,448.449226
1.724387,101,449.021102
1.713265,101,449.599462
1.486119,101,450.175906
1.879261,101,450.757243
2.911679,101,451.330707
1.436695,101,451.922842
2.924833,101,452.500566
3.302092,101,453.077066
2.15104,101,453.657295
2.670078,101,454.248681
2.95378,101,454.837774
2.601445,101,455.41894
2.070656,101,455.998787
2.51733,101,456.584173
2.686449,101,457.169764
2.756316,101,457.756346
2.426871,101,458.342364
1.841941,101,458.92004
2.103663,101,459.502601
-8.271176,6,459.537722
2.053981,101,460.123872
2.47851,101,460.700449
1.264007,101,461.290265
2.929961,101,461.873767
2.420767,101,462.451115
-7.756235,7,462.492535
2.474561,101,463.079761
1.876365,101,463.662281
2.940468,101,464.232608
2.776097,101,464.804928
2.807244,101,465.374061
3.21354,101,465.949873
2.046244,101,466.526659
1.287244,101,467.112441
2.545322,101,467.687694
2.675528,101,468.260338
-8.092226,5,468.290191
2.45312,101,468.861699
2.503676,101,469.44372
1.650459,101,470.018749
2.046514,101,470.58912
2.34179,101,471.163011
-8.291908,6,471.198235
2.651569,101,471.781319
2.23342,101,472.363986
2.561731,101,472.939337
-8.06305,5,472.968141
2.228052,101,473.557044
1.870332,101,474.138083
2.553185,101,474.709969
2.681209,101,475.286168
3.120935,101,475.862803
2.832546,101,476.441653
2.582554,101,477.021828
2.55659,101,477.5973
2.420212,101,478.173702
2.212941,101,478.758395
1.827728,101,479.331114
2.16077,101,479.908008
2.504881,101,480.490515
2.468143,101,481.076835
2.552991,101,481.657109
2.978955,101,482.242008
1.887064,101,482.828025
2.52181,101,483.409081
2.935022,101,483.982603
2.615563,101,484.565476
2.180005,101,485.144186
1.857621,101,485.716621
2.796295,101,486.294394
2.032081,101,486.871305
4.106745,101,487.454215
2.600275,101,488.034246
2.120514,101,488.614229
1.351119,101,489.18973
1.861942,101,489.768842
1.561861,101,490.352879
1.979469,101,490.926801
2.009734,101,491.502002
2.856494,101,492.086392
2.395316,101,492.669634
2.306246,101,493.252062
1.989356,101,493.827297
2.357339,101,494.407176
3.008696,101,494.980989
2.617383,101,495.556528
2.669994,101,496.142307
3.320918,101,496.730383
2.468036,101,497.310673
2.261453,101,497.882515
-8.217465,101,498.456045
1.796933,101,499.029413
2.751067,101,499.613832
1.357801,101,500.198992
2.810872,101,500.789354
2.685972,101,501.365157
1.91342,101,501.945099
2.715994,101,502.51971
2.715287,101,503.092974
2.696819,101,503.668679
3.384613,101,504.241364
2.521838,101,504.818505
2.64212,101,505.394402
1.72824,101,505.969893
1.824131,101,506.538827
2.247875,101,507.108371
2.310961,101,507.679819
1.812975,101,508.249209
1.404639,101,508.819336
2.617715,101,509.388979
-8.809243,5,509.417501
2.260078,101,509.99528
2.363219,101,510.563257
2.431988,101,511.132308
2.741871,101,511.701348
2.818172,101,512.270547
2.351994,101,512.843637
-7.852842,8,512.889626
2.894461,101,513.458146
-8.94792,5,513.48725
2.88126,101,514.056947
1.677867,101,514.626867
2.845411,101,515.196501
2.302516,101,515.765069
1.934409,101,516.337387
1.978102,101,516.906726
2.961973,101,517.474859
1.570902,101,518.045273
3.019569,101,518.617526
2.458544,101,519.186208
3.050737,101,519.756566
2.383437,101,520.325724
2.466122,101,520.89387
2.840064,101,521.470181
2.837686,101,522.041169
1.917281,101,522.619183
-7.908257,7,522.660899
2.383224,101,523.235523
2.062575,101,523.805352
2.689773,101,524.379896
2.108225,101,524.951684
2.418922,101,525.523221
1.892223,101,526.095313
1.945577,101,526.674836
2.621583,101,527.261649
-7.900594,6,527.296157
-7.089141,9,527.347907
2.672835,101,527.921221
-7.213018,9,527.973213
2.428749,101,528.551538
2.680148,101,529.121239
2.744713,101,529.695116
2.880487,101,530.271163
-164.786807,101,530.849428
-153.864898,101,531.423736
1.75692,101,531.995586
-116.253514,101,532.57675
3.294398,101,533.156094
-7.720729,101,533.731571
2.325918,101,534.308866
2.676315,101,534.888593
2.530814,101,535.472075
1.961144,101,536.055232
1.978225,101,536.624078
2.87236,101,537.202305
2.204693,101,537.776653
2.532208,101,538.349403
1.281284,101,538.922623
2.149459,101,539.494236
-17.97326,10,539.551882
2.113607,101,540.12386
1.21613,101,540.695837
2.414385,101,541.271158
1.96819,101,541.851352
1.618388,101,542.426746
-7.330241,9,542.479105
2.287337,101,543.054739
2.457168,101,543.633645
1.870809,101,544.206477
2.440163,101,544.787875
-8.173769,7,544.828673
1.823065,101,545.405403
2.110225,101,545.997006
2.734943,101,546.574492
1.813515,101,547.152161
2.17752,101,547.780686
2.590367,101,548.360694
-8.371,4,548.384511
1.965979,101,548.963267
2.456707,101,549.544868
1.478935,101,550.122174
1.800525,101,550.704026
2.67343,101,551.284588
1.58511,101,551.859908
1.638308,101,552.441903
1.938197,101,553.028313
-7.826761,6,553.062858
1.93722,101,553.638623
